Country,Code,Product,Rank,Amount
BELIZE,BLZ,"H8 - DRUG FORMULATIONS, BIOLOGICALS",6,1
BELIZE,BLZ,N6 - INDL. MACHNRY FOR DAIRY ETC,7,0
BELIZE,BLZ,R1 - RMG OF OTHR TEXTLE MATRL,8,0
BELIZE,BLZ,I8 - AUTO TYRES AND TUBES,9,0
BELIZE,BLZ,K7 - PACKAGING MATERIALS,10,0
BENIN,BEN,A4 - RICE(OTHER THAN BASMOTI),1,460
BENIN,BEN,"P8 - COTTON FABRICS, MADEUPS ETC.",2,31
BENIN,BEN,"H8 - DRUG FORMULATIONS, BIOLOGICALS",3,22
BENIN,BEN,N6 - INDL. MACHNRY FOR DAIRY ETC,4,19
BENIN,BEN,O8 - TWO AND THREE WHEELERS,5,15
BENIN,BEN,D5 - MISC PROCESSED ITEMS,6,7
BENIN,BEN,A2 - COFFEE,7,7
BENIN,BEN,"Q3 - MANMADE YARN,FABRICS,MADEUPS",8,6
BENIN,BEN,"L5 - ALUMINIUM, PRODUCTS OF ALUMINM",9,4
BENIN,BEN,D2 - CEREAL PREPARATIONS,10,4
BERMUDA,BMU,O5 - MOTOR VEHICLE/CARS,1,5
BERMUDA,BMU,O8 - TWO AND THREE WHEELERS,2,0
BERMUDA,BMU,M3 - AUTO COMPONENTS/PARTS,3,0
BERMUDA,BMU,"H8 - DRUG FORMULATIONS, BIOLOGICALS",4,0
BERMUDA,BMU,"P8 - COTTON FABRICS, MADEUPS ETC.",5,0
BERMUDA,BMU,L3 - IRON AND STEEL,6,0
BERMUDA,BMU,"J9 - PAPER, PAPER BOARD AND PRODUCT",7,0
BERMUDA,BMU,N2 - BICYCLE AND PARTS,8,0
BERMUDA,BMU,L2 - OTHER PLASTIC ITEMS,9,0
BERMUDA,BMU,H1 - SPORTS GOODS,10,0
BHUTAN,BTN,S6 - PETROLEUM PRODUCTS,1,114
BHUTAN,BTN,O5 - MOTOR VEHICLE/CARS,2,57
BHUTAN,BTN,99 - OTHER COMMODITIES,3,51
BHUTAN,BTN,"F1 - COAL,COKE AND BRIQUITTES ETC",4,43
BHUTAN,BTN,N4 - ELECTRIC MACHINERY AND EQUIPME,5,40
BHUTAN,BTN,L3 - IRON AND STEEL,6,38
BHUTAN,BTN,N9 - OTHER CONSTRUCTION MACHINERY,7,30
BHUTAN,BTN,B8 - VEGETABLE OILS,8,22
BHUTAN,BTN,L4 - PRODUCTS OF IRON AND STEEL,9,22
BHUTAN,BTN,E2 - DAIRY PRODUCTS,10,18
BOLIVIA,BOL,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1,43
BOLIVIA,BOL,O5 - MOTOR VEHICLE/CARS,2,38
BOLIVIA,BOL,O8 - TWO AND THREE WHEELERS,3,8
BOLIVIA,BOL,I8 - AUTO TYRES AND TUBES,4,3
BOLIVIA,BOL,H9 - AGRO CHEMICALS,5,2
BOLIVIA,BOL,"H5 - BULK DRUGS, DRUG INTERMEDIATES",6,2
BOLIVIA,BOL,K8 - PLASTIC RAW MATERIALS,7,1
BOLIVIA,BOL,L4 - PRODUCTS OF IRON AND STEEL,8,1
BOLIVIA,BOL,N6 - INDL. MACHNRY FOR DAIRY ETC,9,1
BOLIVIA,BOL,M9 - OFFICE EQUIPMENTS,10,1
BOSNIA AND HERZGOVINA,BIH,N4 - ELECTRIC MACHINERY AND EQUIPME,1,3
BOSNIA AND HERZGOVINA,BIH,"H8 - DRUG FORMULATIONS, BIOLOGICALS",2,2
BOSNIA AND HERZGOVINA,BIH,"N1 - AC, REFRIGERATION MACHNRY ETC",3,2
BOSNIA AND HERZGOVINA,BIH,I8 - AUTO TYRES AND TUBES,4,1
BOSNIA AND HERZGOVINA,BIH,J5 - CERAMICS AND ALLIED PRODUCTS,5,1
BOSNIA AND HERZGOVINA,BIH,"F3 - GRANIT, NATRL STONE AND PRODCT",6,1
BOSNIA AND HERZGOVINA,BIH,P4 - TELECOM INSTRUMENTS,7,1
BOSNIA AND HERZGOVINA,BIH,"H5 - BULK DRUGS, DRUG INTERMEDIATES",8,1
BOSNIA AND HERZGOVINA,BIH,I7 - RESIDUL CHEMICL AND ALLED PROD,9,0
BOSNIA AND HERZGOVINA,BIH,M8 - MEDICAL AND SCIENTIFIC INSTRUM,10,0
BOTSWANA,BWA,"G5 - PEARL, PRECS, SEMIPRECS STONES",1,209
BOTSWANA,BWA,"H8 - DRUG FORMULATIONS, BIOLOGICALS",2,24
BOTSWANA,BWA,N9 - OTHER CONSTRUCTION MACHINERY,3,4
BOTSWANA,BWA,N6 - INDL. MACHNRY FOR DAIRY ETC,4,3
BOTSWANA,BWA,M7 - MACHINE TOOLS,5,2
BOTSWANA,BWA,L4 - PRODUCTS OF IRON AND STEEL,6,1
BOTSWANA,BWA,"K9 - PLASTC SHT, FILM, PLTS ETC",7,1
BOTSWANA,BWA,"O9 - COMPUTER HARDWARE, PERIPHERALS",8,1
BOTSWANA,BWA,I7 - RESIDUL CHEMICL AND ALLED PROD,9,1
BOTSWANA,BWA,I8 - AUTO TYRES AND TUBES,10,1
BRAZIL,BRA,H9 - AGRO CHEMICALS,1,1157
BRAZIL,BRA,S6 - PETROLEUM PRODUCTS,2,1095
BRAZIL,BRA,"H8 - DRUG FORMULATIONS, BIOLOGICALS",3,337
BRAZIL,BRA,M3 - AUTO COMPONENTS/PARTS,4,273
BRAZIL,BRA,"Q3 - MANMADE YARN,FABRICS,MADEUPS",5,256
BRAZIL,BRA,I3 - ORGANIC CHEMICALS,6,235
BRAZIL,BRA,N6 - INDL. MACHNRY FOR DAIRY ETC,7,199
BRAZIL,BRA,"L5 - ALUMINIUM, PRODUCTS OF ALUMINM",8,199
BRAZIL,BRA,L3 - IRON AND STEEL,9,183
BRAZIL,BRA,I7 - RESIDUL CHEMICL AND ALLED PROD,10,176
BRUNEI,BRN,O5 - MOTOR VEHICLE/CARS,1,22
BRUNEI,BRN,C8 - FRESH VEGETABLES,2,1
BRUNEI,BRN,99 - OTHER COMMODITIES,3,1
BRUNEI,BRN,A4 - RICE(OTHER THAN BASMOTI),4,1
BRUNEI,BRN,"N1 - AC, REFRIGERATION MACHNRY ETC",5,1
BRUNEI,BRN,I7 - RESIDUL CHEMICL AND ALLED PROD,6,1
BRUNEI,BRN,B2 - CASHEW,7,1
BRUNEI,BRN,"Q3 - MANMADE YARN,FABRICS,MADEUPS",8,1
BRUNEI,BRN,A3 - RICE -BASMOTI,9,1
BRUNEI,BRN,E7 - MARINE PRODUCTS,10,1
BULGARIA,BGR,L3 - IRON AND STEEL,1,54
BULGARIA,BGR,I7 - RESIDUL CHEMICL AND ALLED PROD,2,22
BULGARIA,BGR,"L5 - ALUMINIUM, PRODUCTS OF ALUMINM",3,19
BULGARIA,BGR,I4 - OTHER MISCELLAENIOUS CHEMICALS,4,12
BULGARIA,BGR,"H8 - DRUG FORMULATIONS, BIOLOGICALS",5,11
BULGARIA,BGR,"Q3 - MANMADE YARN,FABRICS,MADEUPS",6,11
BULGARIA,BGR,I8 - AUTO TYRES AND TUBES,7,8
BULGARIA,BGR,K8 - PLASTIC RAW MATERIALS,8,8
BULGARIA,BGR,"P8 - COTTON FABRICS, MADEUPS ETC.",9,7
BULGARIA,BGR,L4 - PRODUCTS OF IRON AND STEEL,10,6
BURKINA FASO,BFA,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1,46
BURKINA FASO,BFA,A4 - RICE(OTHER THAN BASMOTI),2,18
BURKINA FASO,BFA,"P8 - COTTON FABRICS, MADEUPS ETC.",3,16
BURKINA FASO,BFA,O8 - TWO AND THREE WHEELERS,4,15
BURKINA FASO,BFA,N2 - BICYCLE AND PARTS,5,14
BURKINA FASO,BFA,L4 - PRODUCTS OF IRON AND STEEL,6,7
BURKINA FASO,BFA,I9 - OTHR RUBBER PRODCT EXCPT FOOTW,7,6
BURKINA FASO,BFA,N6 - INDL. MACHNRY FOR DAIRY ETC,8,5
BURKINA FASO,BFA,"Q3 - MANMADE YARN,FABRICS,MADEUPS",9,5
BURKINA FASO,BFA,O5 - MOTOR VEHICLE/CARS,10,5
BURUNDI,BDI,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1,16
BURUNDI,BDI,N4 - ELECTRIC MACHINERY AND EQUIPME,2,6
BURUNDI,BDI,O8 - TWO AND THREE WHEELERS,3,5
BURUNDI,BDI,N6 - INDL. MACHNRY FOR DAIRY ETC,4,3
BURUNDI,BDI,"J7 - BOOKS, PUBLICATIONS AND PRNTNG",5,2
BURUNDI,BDI,M3 - AUTO COMPONENTS/PARTS,6,2
BURUNDI,BDI,N2 - BICYCLE AND PARTS,7,2
BURUNDI,BDI,D2 - CEREAL PREPARATIONS,8,2
BURUNDI,BDI,I9 - OTHR RUBBER PRODCT EXCPT FOOTW,9,1
BURUNDI,BDI,99 - OTHER COMMODITIES,10,1
CENTRAL AFRICAN REPUBLIC,CAF,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1,10
CENTRAL AFRICAN REPUBLIC,CAF,"P8 - COTTON FABRICS, MADEUPS ETC.",2,2
CENTRAL AFRICAN REPUBLIC,CAF,L4 - PRODUCTS OF IRON AND STEEL,3,1
CENTRAL AFRICAN REPUBLIC,CAF,99 - OTHER COMMODITIES,4,1
CENTRAL AFRICAN REPUBLIC,CAF,N4 - ELECTRIC MACHINERY AND EQUIPME,5,1
CENTRAL AFRICAN REPUBLIC,CAF,O8 - TWO AND THREE WHEELERS,6,0
CENTRAL AFRICAN REPUBLIC,CAF,N9 - OTHER CONSTRUCTION MACHINERY,7,0
CENTRAL AFRICAN REPUBLIC,CAF,A4 - RICE(OTHER THAN BASMOTI),8,0
CENTRAL AFRICAN REPUBLIC,CAF,N6 - INDL. MACHNRY FOR DAIRY ETC,9,0
CENTRAL AFRICAN REPUBLIC,CAF,A3 - RICE -BASMOTI,10,0
CAMBODIA,KHM,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1,56
CAMBODIA,KHM,D7 - BUFFALO MEAT,2,26
CAMBODIA,KHM,"Q3 - MANMADE YARN,FABRICS,MADEUPS",3,11
CAMBODIA,KHM,N6 - INDL. MACHNRY FOR DAIRY ETC,4,11
CAMBODIA,KHM,O5 - MOTOR VEHICLE/CARS,5,7
CAMBODIA,KHM,"P8 - COTTON FABRICS, MADEUPS ETC.",6,6
CAMBODIA,KHM,B9 - OIL MEALS,7,5
CAMBODIA,KHM,D2 - CEREAL PREPARATIONS,8,5
CAMBODIA,KHM,F8 - FINISHED LEATHER,9,5
CAMBODIA,KHM,H9 - AGRO CHEMICALS,10,5
CAMEROON,CMR,A4 - RICE(OTHER THAN BASMOTI),1,154
CAMEROON,CMR,"H8 - DRUG FORMULATIONS, BIOLOGICALS",2,61
CAMEROON,CMR,"P8 - COTTON FABRICS, MADEUPS ETC.",3,10
CAMEROON,CMR,"K9 - PLASTC SHT, FILM, PLTS ETC",4,10
CAMEROON,CMR,O8 - TWO AND THREE WHEELERS,5,8
CAMEROON,CMR,N6 - INDL. MACHNRY FOR DAIRY ETC,6,8
CAMEROON,CMR,E6 - ALCOHOLIC BEVERAGES,7,7
CAMEROON,CMR,H9 - AGRO CHEMICALS,8,7
CAMEROON,CMR,I7 - RESIDUL CHEMICL AND ALLED PROD,9,7
CAMEROON,CMR,S6 - PETROLEUM PRODUCTS,10,6
CANADA,CAN,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1,317
CANADA,CAN,L4 - PRODUCTS OF IRON AND STEEL,2,224
CANADA,CAN,E7 - MARINE PRODUCTS,3,173
CANADA,CAN,I7 - RESIDUL CHEMICL AND ALLED PROD,4,166
CANADA,CAN,L3 - IRON AND STEEL,5,163
CANADA,CAN,Q6 - RMG COTTON INCL ACCESSORIES,6,146
CANADA,CAN,"P8 - COTTON FABRICS, MADEUPS ETC.",7,144
CANADA,CAN,G9 - GOLD AND OTH PRECS METL JWLERY,8,115
CANADA,CAN,"G5 - PEARL, PRECS, SEMIPRECS STONES",9,93
CANADA,CAN,M3 - AUTO COMPONENTS/PARTS,10,82
CAPE VERDE,CPV,A4 - RICE(OTHER THAN BASMOTI),1,2
CAPE VERDE,CPV,L3 - IRON AND STEEL,2,1
CAPE VERDE,CPV,O5 - MOTOR VEHICLE/CARS,3,0
CAPE VERDE,CPV,"H8 - DRUG FORMULATIONS, BIOLOGICALS",4,0
CAPE VERDE,CPV,J5 - CERAMICS AND ALLIED PRODUCTS,5,0
CAPE VERDE,CPV,K6 - MOULDED AND EXTRUDED GOODS,6,0
CAPE VERDE,CPV,"Q3 - MANMADE YARN,FABRICS,MADEUPS",7,0
CAPE VERDE,CPV,D2 - CEREAL PREPARATIONS,8,0
CAPE VERDE,CPV,"P9 - OTH TXTL YRN, FBRIC MDUP ARTCL",9,0
CAPE VERDE,CPV,99 - OTHER COMMODITIES,10,0
CAYMAN ISLANDS,CYM,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1,2
CAYMAN ISLANDS,CYM,O5 - MOTOR VEHICLE/CARS,2,1
CAYMAN ISLANDS,CYM,M8 - MEDICAL AND SCIENTIFIC INSTRUM,3,1
CAYMAN ISLANDS,CYM,I1 - SURGICALS,4,1
CAYMAN ISLANDS,CYM,99 - OTHER COMMODITIES,5,0
CAYMAN ISLANDS,CYM,"J9 - PAPER, PAPER BOARD AND PRODUCT",6,0
CAYMAN ISLANDS,CYM,S1 - HANDCRFS(EXCL.HANDMADE CRPTS),7,0
CAYMAN ISLANDS,CYM,P3 - ELECTRONICS INSTRUMENTS,8,0
CAYMAN ISLANDS,CYM,"J4 - CMNT, CLINKR AND ASBSTOS CMNT",9,0
CAYMAN ISLANDS,CYM,R1 - RMG OF OTHR TEXTLE MATRL,10,0
CHAD,TCD,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1,23
CHAD,TCD,D5 - MISC PROCESSED ITEMS,2,3
CHAD,TCD,N2 - BICYCLE AND PARTS,3,3
CHAD,TCD,D2 - CEREAL PREPARATIONS,4,3
CHAD,TCD,J1 - FOOTWEAR OF RUBBER/CANVAS ETC.,5,2
